Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
864589344,javascript.express.express-sqlite-sqli.express-sqlite-sqli,Code,Critical,Open,High,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/59b1ec138fafbe82d84da9bba651f59479b29021/apps\analisis-vulnerabilidades\backend\index.js#L54,https://semgrep.dev/orgs/abnerarboleda_personal_org/findings/864589344,2026-06-25 17:54:50.587790,2026-06-25 17:54:50.562503,refs/heads/taller_sast_adarboleda,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
864589343,javascript.express.express-sqlite-sqli.express-sqlite-sqli,Code,Critical,Open,High,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/59b1ec138fafbe82d84da9bba651f59479b29021/apps\analisis-vulnerabilidades\backend\index.js#L102,https://semgrep.dev/orgs/abnerarboleda_personal_org/findings/864589343,2026-06-25 17:54:50.587773,2026-06-25 17:54:50.562498,refs/heads/taller_sast_adarboleda,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
864589342,javascript.express.db.sqlite-express.sqlite-express,Code,Critical,Open,High,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/59b1ec138fafbe82d84da9bba651f59479b29021/apps\analisis-vulnerabilidades\backend\index.js#L54,https://semgrep.dev/orgs/abnerarboleda_personal_org/findings/864589342,2026-06-25 17:54:50.587756,2026-06-25 17:54:50.562492,refs/heads/taller_sast_adarboleda,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
864589341,javascript.express.db.sqlite-express.sqlite-express,Code,Critical,Open,High,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/59b1ec138fafbe82d84da9bba651f59479b29021/apps\analisis-vulnerabilidades\backend\index.js#L102,https://semgrep.dev/orgs/abnerarboleda_personal_org/findings/864589341,2026-06-25 17:54:50.587739,2026-06-25 17:54:50.562486,refs/heads/taller_sast_adarboleda,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
864589340,javascript.express.express-child-process.express-child-process,Code,Critical,Open,Medium,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/59b1ec138fafbe82d84da9bba651f59479b29021/apps\analisis-vulnerabilidades\backend\index.js#L154,https://semgrep.dev/orgs/abnerarboleda_personal_org/findings/864589340,2026-06-25 17:54:50.587721,2026-06-25 17:54:50.562475,refs/heads/taller_sast_adarboleda,,,,"Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. For more information, see [Command injection prevention for JavaScript ] (https://semgrep.dev/docs/cheat-sheets/javascript-command-injection/)."
864589339,javascript.express.os.tainted-os-command-child-process-express.tainted-os-command-child-process-express,Code,High,Open,High,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/59b1ec138fafbe82d84da9bba651f59479b29021/apps\analisis-vulnerabilidades\backend\index.js#L154,https://semgrep.dev/orgs/abnerarboleda_personal_org/findings/864589339,2026-06-25 17:54:50.587704,2026-06-25 17:54:50.562470,refs/heads/taller_sast_adarboleda,,,,"Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the input, and use safe methods for executing the commands. For more information, see: [JavaScript command injection prevention] (https://semgrep.dev/docs/cheat-sheets/javascript-command-injection/)"
864589338,javascript.lang.security.detect-child-process.detect-child-process,Code,High,Open,Low,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/59b1ec138fafbe82d84da9bba651f59479b29021/apps\analisis-vulnerabilidades\backend\index.js#L154,https://semgrep.dev/orgs/abnerarboleda_personal_org/findings/864589338,2026-06-25 17:54:50.587687,2026-06-25 17:54:50.562464,refs/heads/taller_sast_adarboleda,,,,"Detected calls to child_process from a function argument `req`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
864589337,dockerfile.security.missing-user.missing-user,Code,High,Open,Medium,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/59b1ec138fafbe82d84da9bba651f59479b29021/apps\auth-service\Dockerfile#L25,https://semgrep.dev/orgs/abnerarboleda_personal_org/findings/864589337,2026-06-25 17:54:50.587670,2026-06-25 17:54:50.562459,refs/heads/taller_sast_adarboleda,,,,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'."
864589336,dockerfile.security.missing-user.missing-user,Code,High,Open,Medium,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/59b1ec138fafbe82d84da9bba651f59479b29021/apps\frontend\Dockerfile#L23,https://semgrep.dev/orgs/abnerarboleda_personal_org/findings/864589336,2026-06-25 17:54:50.587653,2026-06-25 17:54:50.562454,refs/heads/taller_sast_adarboleda,,,,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'."
864589335,dockerfile.security.missing-user.missing-user,Code,High,Open,Medium,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/59b1ec138fafbe82d84da9bba651f59479b29021/apps\products\Dockerfile#L22,https://semgrep.dev/orgs/abnerarboleda_personal_org/findings/864589335,2026-06-25 17:54:50.587635,2026-06-25 17:54:50.562446,refs/heads/taller_sast_adarboleda,,,,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'."
