Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
864564387,javascript.express.express-child-process.express-child-process,Code,Critical,Open,Medium,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\analisis-vulnerabilidades\backend\index.js#L154,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/findings/864564387,2026-06-25 17:23:27.879753,2026-06-25 17:23:27.865649,refs/heads/taller-SAST/ciloor2,,,,"Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. For more information, see [Command injection prevention for JavaScript ] (https://semgrep.dev/docs/cheat-sheets/javascript-command-injection/)."
864564386,javascript.express.express-sqlite-sqli.express-sqlite-sqli,Code,Critical,Open,High,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\analisis-vulnerabilidades\backend\index.js#L54,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/findings/864564386,2026-06-25 17:23:27.879736,2026-06-25 17:23:27.865643,refs/heads/taller-SAST/ciloor2,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
864564385,javascript.express.express-sqlite-sqli.express-sqlite-sqli,Code,Critical,Open,High,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\analisis-vulnerabilidades\backend\index.js#L102,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/findings/864564385,2026-06-25 17:23:27.879719,2026-06-25 17:23:27.865638,refs/heads/taller-SAST/ciloor2,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
864564384,javascript.express.db.sqlite-express.sqlite-express,Code,Critical,Open,High,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\analisis-vulnerabilidades\backend\index.js#L54,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/findings/864564384,2026-06-25 17:23:27.879702,2026-06-25 17:23:27.865632,refs/heads/taller-SAST/ciloor2,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
864564383,javascript.express.db.sqlite-express.sqlite-express,Code,Critical,Open,High,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\analisis-vulnerabilidades\backend\index.js#L102,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/findings/864564383,2026-06-25 17:23:27.879685,2026-06-25 17:23:27.865624,refs/heads/taller-SAST/ciloor2,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
864564382,javascript.lang.security.detect-child-process.detect-child-process,Code,High,Open,Low,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\analisis-vulnerabilidades\backend\index.js#L154,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/findings/864564382,2026-06-25 17:23:27.879668,2026-06-25 17:23:27.865618,refs/heads/taller-SAST/ciloor2,,,,"Detected calls to child_process from a function argument `req`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
864564381,dockerfile.security.missing-user.missing-user,Code,High,Open,Medium,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\auth-service\Dockerfile#L25,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/findings/864564381,2026-06-25 17:23:27.879651,2026-06-25 17:23:27.865612,refs/heads/taller-SAST/ciloor2,,,,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'."
864564380,dockerfile.security.missing-user.missing-user,Code,High,Open,Medium,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\frontend\Dockerfile#L23,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/findings/864564380,2026-06-25 17:23:27.879634,2026-06-25 17:23:27.865606,refs/heads/taller-SAST/ciloor2,,,,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'."
864564379,dockerfile.security.missing-user.missing-user,Code,High,Open,Medium,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\products\Dockerfile#L22,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/findings/864564379,2026-06-25 17:23:27.879616,2026-06-25 17:23:27.865600,refs/heads/taller-SAST/ciloor2,,,,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'."
864564378,javascript.express.os.tainted-os-command-child-process-express.tainted-os-command-child-process-express,Code,High,Open,High,security,False,,,,,,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\analisis-vulnerabilidades\backend\index.js#L154,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/findings/864564378,2026-06-25 17:23:27.879599,2026-06-25 17:23:27.865592,refs/heads/taller-SAST/ciloor2,,,,"Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the input, and use safe methods for executing the commands. For more information, see: [JavaScript command injection prevention] (https://semgrep.dev/docs/cheat-sheets/javascript-command-injection/)"
